"pm25_concentration","pm10_concentration","no2_concentration"
6.414,10.887,12.723
6.414,10.887,12.723
6.414,10.887,12.723
9.402,10.732,15.075
9.402,10.732,15.075
9.402,10.732,15.075
11.557,17.642,20.241
11.557,17.642,20.241
11.557,17.642,20.241
14.229,19.24,26.352
14.229,19.24,26.352
14.229,19.24,26.352
9.844,17.101,24.614
9.844,17.101,24.614
9.844,17.101,24.614
13.408,18.663,27.386
13.408,18.663,27.386
13.408,18.663,27.386
11.053,18.369,28.249
11.053,18.369,28.249
11.053,18.369,28.249
10.059,18.586,26.158
10.059,18.586,26.158
10.059,18.586,26.158
11.541,18.871,24.782
11.541,18.871,24.782
11.541,18.871,24.782
14.238,21.743,27.73
14.238,21.743,27.73
14.238,21.743,27.73
7.984,13.052,15.412
7.984,13.052,15.412
7.984,13.052,15.412
13.589,19.164,48.57
13.589,19.164,48.57
13.589,19.164,48.57
12.998,16.706,26.479
12.998,16.706,26.479
12.998,16.706,26.479
11.107,16.507,27.346
11.107,16.507,27.346
11.107,16.507,27.346
10.877,15.639,23.786
10.877,15.639,23.786
10.877,15.639,23.786
10.078,14.848,21.309
10.078,14.848,21.309
10.078,14.848,21.309
10.619,16.1,20.649
10.619,16.1,20.649
10.619,16.1,20.649
10.872,17.922,20.391
10.872,17.922,20.391
10.872,17.922,20.391
8.119,17.22,16.745
8.119,17.22,16.745
8.119,17.22,16.745
12.38,15.261,27.229
12.38,15.261,27.229
12.38,15.261,27.229
8.196,14.795,9.239
8.196,14.795,9.239
8.196,14.795,9.239
9.172,13.424,12.195
9.172,13.424,12.195
9.172,13.424,12.195
9.437,16.181,30.542
9.437,16.181,30.542
9.437,16.181,30.542
9.091,15.935,20.419
9.091,15.935,20.419
9.091,15.935,20.419
10.887,22.002,18.544
10.887,22.002,18.544
10.887,22.002,18.544
14.239,19.49,19.834
14.239,19.49,19.834
14.239,19.49,19.834
10.274,16.53,18.118
10.274,16.53,18.118
10.274,16.53,18.118
11.413,17.45,19.51
11.413,17.45,19.51
11.413,17.45,19.51
11.907,19.075,20.087
11.907,19.075,20.087
11.907,19.075,20.087
12.639,20.591,18.189
12.639,20.591,18.189
12.639,20.591,18.189
12.37,18.909,18.466
12.37,18.909,18.466
12.37,18.909,18.466
14.892,20.477,19.899
14.892,20.477,19.899
14.892,20.477,19.899
7.087,11.485,14.307
7.087,11.485,14.307
7.087,11.485,14.307
