"country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region"
"United Kingdom of Great Britain and Northern Ireland","Sandwell/GBR",2010,NA,NA,31.086,NA,NA,99,NA,329042,52.52062,-1.995556,1,"Sandwell","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Sheffield/GBR",2010,21.702,15.724,37.065,NA,99,96,NA,730158,53.385935,-1.45401425,1,"Sheffield","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2010,17.754,13.292,36.016,NA,75,79,NA,228086,50.90814,-1.395778,1,"Southampton","South East"
"United Kingdom of Great Britain and Northern Ireland","Southend On Sea/GBR",2010,NA,14.227,NA,NA,98,NA,NA,312328,51.544206,0.678408,1,"Southend On Sea","East of England"
"United Kingdom of Great Britain and Northern Ireland","Stockton On Tees/GBR",2010,14.417,9.369,21.125,NA,92,99,NA,188521,54.516667,-1.358547,1,"Stockton On Tees","North East"
"United Kingdom of Great Britain and Northern Ireland","Stoke On Trent/GBR",2010,22.115,16.52,34.697,NA,97,97,NA,386013,53.02821,-2.175133,1,"Stoke On Trent","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2010,NA,10.791,16.327,NA,95,96,NA,341366,54.88361,-1.406878,1,"Sunderland","North East"
"United Kingdom of Great Britain and Northern Ireland","Swansea/GBR",2010,15.749,8.994,36.143,NA,95,99,NA,311408,51.632696,-3.947374,1,"Swansea","Wales"
"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2010,24.201,NA,29.199,NA,NA,85,NA,149056,51.47707,0.317969,1,"Thurrock","East of England"
"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2010,NA,NA,26.171,NA,NA,99,NA,305645,53.54914,-2.638139,1,"Wigan","North West"
"United Kingdom of Great Britain and Northern Ireland","Wrexham/GBR",2010,14.277,9.835,24.209,NA,86,97,NA,130702,53.042221,-3.00278,1,"Wrexham","Wales"
"United Kingdom of Great Britain and Northern Ireland","York/GBR",2010,19.164,13.589,48.57,NA,98,94,NA,192131,53.959701,-1.0811875,1,"York","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Aberdeen/GBR",2020,9.435,5.018,20.728,100,100,97,"Urban, Urban, Urban",229060,57.14526767,-2.098316,1,"Aberdeen","NA"
"United Kingdom of Great Britain and Northern Ireland","Alfriston/GBR",2013,NA,NA,8.58,NA,NA,93,"Rural",NA,50.7937,0.1813,1,"Alfriston","South East"
"United Kingdom of Great Britain and Northern Ireland","Armagh/GBR",2013,19.022,NA,26.477,75,NA,99,"Urban",14749,54.35371867,-6.654572,1,"Armagh","NA"
"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2013,NA,NA,21.49,NA,NA,98,"Urban",241824,53.56291,-1.510418,1,"Barnsley","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Barnstaple/GBR",2013,18.668,10.027,NA,10,12,NA,"Urban",NA,51.0748,-4.0419,1,"Barnstaple","South West"
"United Kingdom of Great Britain and Northern Ireland","Bath and North East Somerset/GBR",2013,NA,NA,57.257,NA,NA,99,"Urban",190392,51.3911,-2.3542,1,"Bath and North East Somerset","South West"
"United Kingdom of Great Britain and Northern Ireland","Bath/GBR",2013,NA,NA,57.257,NA,NA,99,NA,106009,51.391127,-2.354155,1,"Bath","South West"
"United Kingdom of Great Britain and Northern Ireland","Belfast/GBR",2013,NA,11.563,31.34,NA,NA,95,NA,630632,54.59965,-5.928833,1,"Belfast","NA"
"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2013,18.54,14.269,36.723,NA,NA,95,NA,997130,52.49325975,-1.83054125,1,"Birmingham","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Blackburn With Darwen/GBR",2013,NA,NA,24.137,NA,NA,94,"Urban",148857,53.7155,-2.4838,1,"Blackburn With Darwen","North West"
"United Kingdom of Great Britain and Northern Ireland","Blackpool/GBR",2013,NA,NA,16.326,NA,NA,96,"Urban",262708,53.804895,-3.0071875,1,"Blackpool","North West"
"United Kingdom of Great Britain and Northern Ireland","Bournemouth/GBR",2013,NA,9.185,14.496,NA,98,99,"Urban",505687,50.73958,-1.826729333,1,"Bournemouth","South West"
"United Kingdom of Great Britain and Northern Ireland","Brighton/GBR",2013,NA,11.182,16.733,NA,98,99,"Urban",284211,50.840824,-0.147581333,1,"Brighton","South East"
"United Kingdom of Great Britain and Northern Ireland","Belfast/GBR",2020,14.871,6.818,25.825,99,100,82,"Urban, Urban",630632,54.586118,-5.9518885,1,"Belfast","NA"
"United Kingdom of Great Britain and Northern Ireland","Cambridge/GBR",2013,NA,NA,37.876,NA,NA,99,"Urban",154506,52.202385,0.124478,1,"Cambridge","East of England"
"United Kingdom of Great Britain and Northern Ireland","Canterbury/GBR",2013,NA,NA,14.541,NA,NA,97,"Urban",80561,51.273995,1.0980805,1,"Canterbury","South East"
"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2020,12.763,7.765,19.683,99,99,79,"Urban, Urban, Urban",1140525,52.464867,-1.874419333,1,"Birmingham","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Blackpool/GBR",2020,14.795,8.196,9.239,99,99,99,"Urban",138381,53.80489,-3.007175,1,"Blackpool","North West"
"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2020,18.484,9.66,21.78,96,94,98,"Urban, Urban",686210,51.4604035,-2.5842285,1,"Bristol","South West"
"United Kingdom of Great Britain and Northern Ireland","Camden/GBR",2020,16.181,9.437,30.542,94,93,85,"Urban, Urban",279516,51.53325,-0.150579,1,"Camden","London"
"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2013,NA,12.676,20.481,NA,58,84,"Urban",361364,52.3943995,-1.519606,1,"Coventry","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Cardiff/GBR",2020,15.37,7.447,17.703,92,87,91,"Urban, Urban",477627,51.48637,-3.1642775,1,"Cardiff","Wales"
